year,location,exp_num,fish_num,length,depth
2014,Kingcome,NA,58,105,20
2014,Kingcome,NA,59,125,25
2014,Kingcome,NA,60,120,25
2014,Kingcome,NA,61,135,25
2014,Kingcome,NA,62,130,25
2014,Kingcome,NA,63,100,20
2014,Kingcome,NA,64,140,30
2014,Kingcome,NA,65,90,15
2014,Kingcome,NA,66,110,25
2014,Kingcome,NA,67,145,30
2014,Kingcome,NA,68,110,20
2014,Kingcome,NA,69,145,30
2014,Kingcome,NA,70,115,25
2014,Kingcome,NA,71,125,25
2014,Kingcome,NA,72,110,20
2014,Kingcome,NA,73,120,25
2014,Kingcome,NA,74,115,25
2014,Kingcome,NA,75,105,20
2014,Kingcome,NA,76,125,25
2014,Kingcome,NA,77,145,30
2014,Kingcome,NA,78,145,30
2014,Kingcome,NA,79,140,30
2014,Kingcome,NA,80,115,25
2014,Kingcome,NA,81,135,30
2014,Kingcome,NA,82,135,30
2014,Kingcome,NA,83,130,25
2014,Kingcome,NA,84,120,25
2014,Kingcome,NA,85,135,25
2014,Kingcome,NA,86,120,30
2014,Kingcome,NA,87,105,20
2014,Kingcome,NA,88,135,30
2014,Kingcome,NA,89,95,20
2014,Kingcome,NA,90,135,30
2014,Kingcome,NA,91,115,25
2014,Kingcome,NA,92,115,25
2014,Kingcome,NA,93,120,25
2014,Kingcome,NA,94,130,25
2014,Kingcome,NA,95,125,25
2014,Kingcome,NA,96,150,30
2014,Kingcome,NA,97,135,30
2014,Kingcome,NA,98,130,30
2014,Kingcome,NA,99,105,25
2014,Kingcome,NA,100,120,23
2014,Kingcome,NA,101,120,25
2014,Kingcome,NA,102,140,25
2014,Kingcome,NA,103,120,25
2014,Kingcome,NA,104,140,30
2014,Kingcome,NA,105,130,24
2014,Kingcome,NA,106,130,27
2014,Kingcome,NA,107,110,23
2014,Kingcome,NA,108,150,29
2014,Kingcome,NA,109,135,27
2014,Kingcome,NA,110,110,27
2014,Kingcome,NA,111,110,23
2014,Kingcome,NA,112,135,26
2014,Kingcome,NA,113,140,28
2014,Kingcome,NA,114,120,25
2014,Kingcome,NA,115,140,25
2014,Kingcome,NA,116,110,20
2014,Kingcome,NA,117,110,23
2014,Kingcome,NA,118,145,26
2014,Kingcome,NA,119,140,25
2014,Kingcome,NA,120,125,25
2014,Kingcome,NA,121,110,24
2014,Kingcome,NA,122,100,20
2014,Kingcome,NA,123,115,23
2014,Kingcome,NA,124,155,30
2014,Kingcome,NA,125,115,24
2014,Kingcome,NA,126,100,20
