date,start_time,expt_num,net_pen,treatment,obs_num,elapsed_time,time_between,obs,by,on,comment
26-Apr,18:30,2,A,Lice,84,44:16.2,01:20.0,S,S,I,
26-Apr,18:30,2,A,Lice,85,47:39.4,03:23.2,C,S,I,
26-Apr,18:30,2,A,Lice,86,47:41.6,00:02.2,L,S,I,
26-Apr,18:30,2,A,Lice,87,47:45.7,00:04.1,C,M,I,
26-Apr,18:30,2,A,Lice,88,50:15.8,02:30.1,S,S,I,
26-Apr,18:30,2,A,Lice,89,53:19.9,03:04.1,C,S,G,
26-Apr,18:30,2,A,Lice,90,53:21.6,00:01.6,L,S,I,
26-Apr,18:30,2,A,Lice,91,58:06.6,04:45.0,S,S,I,
26-Apr,19:30,2,B,NoLice,1,00:35.8,00:35.8,C,S,I,"Getting dark, poor vis at depth made it hard to see steals"
26-Apr,19:30,2,B,NoLice,2,01:40.4,01:04.6,C,S,G,
26-Apr,19:30,2,B,NoLice,3,02:01.5,00:21.1,C,M,I,
26-Apr,19:30,2,B,NoLice,4,02:09.2,00:07.8,S,M,G,
26-Apr,19:30,2,B,NoLice,5,02:28.7,00:19.5,AT,,,
26-Apr,19:30,2,B,NoLice,6,02:41.5,00:12.7,AT,,,
26-Apr,19:30,2,B,NoLice,7,03:09.2,00:27.7,S,S,G,
26-Apr,19:30,2,B,NoLice,8,03:33.1,00:23.9,S,S,I,
26-Apr,19:30,2,B,NoLice,9,04:06.0,00:32.9,C,M,I,
26-Apr,19:30,2,B,NoLice,10,04:36.8,00:30.8,S,S,G,
26-Apr,19:30,2,B,NoLice,11,04:47.7,00:11.0,C,S,G,
26-Apr,19:30,2,B,NoLice,12,05:28.5,00:40.8,S,S,G,
26-Apr,19:30,2,B,NoLice,13,06:00.2,00:31.7,S,S,I,
26-Apr,19:30,2,B,NoLice,14,06:07.1,00:06.9,C,S,I,
26-Apr,19:30,2,B,NoLice,15,06:46.1,00:39.0,C,M,I,
26-Apr,19:30,2,B,NoLice,16,07:04.7,00:18.6,C,S,I,
26-Apr,19:30,2,B,NoLice,17,07:26.9,00:22.2,S,M,I,
26-Apr,19:30,2,B,NoLice,18,07:48.9,00:22.0,S,M,I,
26-Apr,19:30,2,B,NoLice,19,08:08.3,00:19.4,C,M,I,
26-Apr,19:30,2,B,NoLice,20,08:15.1,00:06.8,C,S,I,
26-Apr,19:30,2,B,NoLice,21,08:18.2,00:03.1,L,S,I,
26-Apr,19:30,2,B,NoLice,22,08:34.2,00:16.0,C,M,G,
26-Apr,19:30,2,B,NoLice,23,09:36.6,01:02.4,C,S,G,
26-Apr,19:30,2,B,NoLice,24,09:59.5,00:22.9,C,S,I,
26-Apr,19:30,2,B,NoLice,25,10:56.5,00:57.0,S,M,I,
26-Apr,19:30,2,B,NoLice,26,11:13.5,00:17.0,C,,,
26-Apr,19:30,2,B,NoLice,27,11:52.4,00:38.9,C,M,I,
26-Apr,19:30,2,B,NoLice,28,12:06.5,00:14.1,C,S,I,
26-Apr,19:30,2,B,NoLice,29,12:42.9,00:36.4,C,M,I,
26-Apr,19:30,2,B,NoLice,30,13:15.3,00:32.4,C,,I,
26-Apr,19:30,2,B,NoLice,31,15:58.5,02:43.2,S,S,I,
26-Apr,19:30,2,B,NoLice,32,17:18.7,01:20.2,S,S,I,
26-Apr,19:30,2,B,NoLice,33,17:34.2,00:15.5,C,M,I,
26-Apr,19:30,2,B,NoLice,34,18:04.5,00:30.3,S,S,G,
26-Apr,19:30,2,B,NoLice,35,18:40.5,00:35.9,S,S,I,
26-Apr,19:30,2,B,NoLice,36,19:20.7,00:40.3,S,S,I,
26-Apr,19:30,2,B,NoLice,37,19:56.1,00:35.4,C,S,I,
26-Apr,19:30,2,B,NoLice,38,20:03.5,00:07.4,AT,M/S,,
26-Apr,19:30,2,B,NoLice,39,22:47.2,02:43.7,C,M,G,
26-Apr,19:30,2,B,NoLice,40,24:51.8,02:04.6,C,S,I,
26-Apr,19:30,2,B,NoLice,41,25:04.6,00:12.8,T,L/S,,
26-Apr,19:30,2,B,NoLice,42,29:46.9,04:42.3,S,S,I,
26-Apr,19:30,2,B,NoLice,43,29:58.9,00:11.9,C,S,I,
26-Apr,19:30,2,B,NoLice,44,29:59.8,00:00.9,L,S,I,
26-Apr,19:30,2,B,NoLice,45,34:24.6,04:24.8,C,S,I,
26-Apr,19:30,2,B,NoLice,46,34:26.0,00:01.4,L,S,I,
26-Apr,19:30,2,B,NoLice,47,43:15.4,08:49.4,S,S,I,
26-Apr,19:30,2,B,NoLice,48,49:56.5,06:41.1,S,S,I,
26-Apr,19:30,2,B,NoLice,49,55:36.2,05:39.7,S,M,I,
26-Apr,19:30,2,B,NoLice,50,57:38.4,02:02.2,C,S,I,
26-Apr,19:30,2,B,NoLice,51,58:03.6,00:25.1,L,S,I,
26-Apr,19:30,2,B,NoLice,52,58:55.1,00:51.5,C,S,I,
28-Apr,18:45,3,B,NoLice,1,00:31.7,00:31.7,C,S,G,
28-Apr,18:45,3,B,NoLice,2,00:34.7,00:03.1,C,M,G,
28-Apr,18:45,3,B,NoLice,3,00:59.2,00:24.4,S,S,G,
28-Apr,18:45,3,B,NoLice,4,01:28.6,00:29.5,C,,I,
