expt_num,num_ groups,groups_compared,date,start_time,obs_num,elapsed_time,time_between,obs,by,on,ref_num,comment
6,2,13,29-May,13:40,43,12:50.5,00:14.0,S,G,S,,
6,2,13,29-May,13:40,44,13:56.1,01:05.6,S,L,I,,
6,2,13,29-May,13:40,45,14:13.8,00:17.7,T,L,S,41,
6,2,13,29-May,13:40,46,14:24.7,00:10.8,CON,L,,45,
6,2,13,29-May,13:40,47,14:41.0,00:16.3,S,S,S,,
6,2,13,29-May,13:40,48,15:11.5,00:30.5,S,S,I,,
6,2,13,29-May,13:40,49,15:36.8,00:25.3,S,S,I,,
6,2,13,29-May,13:40,50,16:18.1,00:41.3,S,S,S,,
6,2,13,29-May,13:40,51,16:21.7,00:03.6,S,S,I,,
6,2,13,29-May,13:40,52,17:04.1,00:42.4,S,L,I,,
6,2,13,29-May,13:40,53,17:10.6,00:06.4,C,L,I,,
6,2,13,29-May,13:40,54,17:11.2,00:00.6,L,L,,53,
6,2,13,29-May,13:40,55,17:46.0,00:34.9,S,S,I,,
6,2,13,29-May,13:40,56,18:01.5,00:15.4,S,S,I,,
6,2,13,29-May,13:40,57,18:07.0,00:05.5,C,S,I,,
6,2,13,29-May,13:40,58,18:58.0,00:51.0,C,L,I,,
6,2,13,29-May,13:40,59,19:11.6,00:13.5,CON,L,,58,
6,2,13,29-May,13:40,60,19:55.1,00:43.5,CON,S,,57,
6,2,13,29-May,13:40,61,20:15.1,00:20.0,S,S,I,,
6,2,13,29-May,13:40,62,20:29.6,00:14.5,S,L,I,,
6,2,13,29-May,13:40,63,22:27.6,01:58.0,S,L,S,,
6,2,13,29-May,13:40,64,22:48.7,00:21.1,S,S,I,,
6,2,13,29-May,13:40,65,23:35.5,00:46.8,S,S,I,,
6,2,13,29-May,13:40,66,23:51.3,00:15.8,S,S,I,,
6,2,13,29-May,13:40,67,24:03.7,00:12.4,S,S,I,,
6,2,13,29-May,13:40,68,24:30.7,00:26.9,S,L,S,,
6,2,13,29-May,13:40,69,24:50.8,00:20.1,S,S,S,,
6,2,13,29-May,13:40,70,25:26.0,00:35.2,S,L,S,,
6,2,13,29-May,13:40,71,26:03.7,00:37.7,S,L,I,,
6,2,13,29-May,13:40,72,26:24.3,00:20.6,C,S,S,,
6,2,13,29-May,13:40,73,27:28.3,01:04.0,CON,S,,72,
6,2,13,29-May,13:40,74,28:43.1,01:14.8,S,S,I,,
6,2,13,29-May,13:40,75,29:12.8,00:29.6,S,L,S,,
6,2,13,29-May,13:40,76,29:34.0,00:21.2,S,L,S,,
6,2,13,29-May,13:40,77,29:49.0,00:15.0,C,S,I,,
6,2,13,29-May,13:40,78,29:58.3,00:09.3,L,S,,77,
7,1,3,29-May,14:25,1,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,2,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,3,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,4,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,5,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,6,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,7,00:09.2,00:09.2,C,,,,
7,1,3,29-May,14:25,8,00:52.3,00:14.5,CON,,,1,
7,1,3,29-May,14:25,9,01:05.6,00:13.3,CON,,,2,
7,1,3,29-May,14:25,10,01:16.5,00:10.9,L,,,3,
7,1,3,29-May,14:25,11,01:28.0,00:11.5,CON,,,4,
7,1,3,29-May,14:25,12,01:39.2,00:11.2,CON,,,5,
7,1,3,29-May,14:25,13,02:41.3,01:02.1,C,,I,,
7,1,3,29-May,14:25,14,03:20.9,00:39.6,CON,,,13,
7,1,3,29-May,14:25,15,06:18.0,02:57.2,S,,G,,"after 15, a fish coughed up half a fry and it was eaten by another coho - not recorded"
7,1,3,29-May,14:25,16,11:50.9,04:14.7,S,I,G,,
7,1,3,29-May,14:25,17,13:00.5,01:09.7,S,I,G,,
7,1,3,29-May,14:25,18,15:58.7,02:58.2,S,I,G,,
7,1,3,29-May,14:25,19,16:48.6,00:49.8,S,I,G,,
7,1,3,29-May,14:25,20,17:27.5,00:39.0,S,I,G,,
7,1,3,29-May,14:25,21,17:47.6,00:20.1,S,I,G,,
7,1,3,29-May,14:25,22,18:13.7,00:26.1,C,I,G,,
7,1,3,29-May,14:25,23,18:33.4,00:19.7,CON,,,22,
7,1,3,29-May,14:25,24,21:35.8,03:02.4,S,I,G,,
7,1,3,29-May,14:25,25,22:50.4,01:14.5,S,G,G,,
7,1,3,29-May,14:25,26,25:51.7,03:01.3,S,I,G,,
7,1,3,29-May,14:25,27,26:38.5,00:46.8,C,I,G,,
7,1,3,29-May,14:25,28,26:40.0,00:01.5,L,,,27,
7,1,3,29-May,14:25,29,27:00.7,00:20.7,C,I,I,,
7,1,3,29-May,14:25,30,27:11.9,00:11.2,T,,,,
7,1,3,29-May,14:25,31,27:25.4,00:13.5,CON,,,30,
7,1,3,29-May,14:25,32,29:38.9,02:13.5,S,I,G,,
8,1,3,29-May,14:58,1,01:16.5,01:16.5,S,I,G,,
8,1,3,29-May,14:58,2,01:18.5,00:02.1,S,I,G,,
8,1,3,29-May,14:58,3,01:20.1,00:01.6,S,I,G,,
8,1,3,29-May,14:58,4,03:40.8,02:20.7,S,G,G,,
8,1,3,29-May,14:58,5,03:53.3,00:12.5,S,G,G,,
8,1,3,29-May,14:58,6,04:21.0,00:27.7,S,G,G,,
8,1,3,29-May,14:58,7,04:21.9,00:01.0,C,,G,,
8,1,3,29-May,14:58,8,04:23.9,00:02.0,C,,G,,
8,1,3,29-May,14:58,9,04:41.3,00:17.4,C,,I,,
8,1,3,29-May,14:58,10,04:47.6,00:06.3,L,,,8,
8,1,3,29-May,14:58,11,05:09.0,00:21.4,CON,,,7,
8,1,3,29-May,14:58,12,05:26.1,00:17.1,CON,,,9,
8,1,3,29-May,14:58,13,05:59.0,00:32.9,C,I,I,,
8,1,3,29-May,14:58,14,06:09.5,00:10.5,C,I,G,,
8,1,3,29-May,14:58,15,06:24.4,00:14.8,L,,,13,
8,1,3,29-May,14:58,16,06:28.5,00:04.1,C,,I,15,
8,1,3,29-May,14:58,17,06:39.9,00:11.5,CON,,,14,
8,1,3,29-May,14:58,18,07:05.0,00:25.1,C,I,G,,
8,1,3,29-May,14:58,19,07:11.3,00:06.3,CON,,,16,
8,1,3,29-May,14:58,20,07:22.5,00:11.1,C,G,G,,
8,1,3,29-May,14:58,21,07:24.1,00:01.6,C,G,G,,
8,1,3,29-May,14:58,22,07:26.9,00:02.8,CON,,,18,
8,1,3,29-May,14:58,23,07:30.8,00:03.9,CON,,,20,
8,1,3,29-May,14:58,24,07:57.5,00:26.7,C,,I,,
8,1,3,29-May,14:58,25,07:59.0,00:01.5,L,,,24,
8,1,3,29-May,14:58,26,08:03.9,00:04.9,C,,I,,
8,1,3,29-May,14:58,27,08:38.8,00:05.3,CON,,,26,
8,1,3,29-May,14:58,28,13:07.2,04:28.4,C,I,G,,
8,1,3,29-May,14:58,29,14:52.3,01:45.1,CON,,,28,
8,1,3,29-May,14:58,30,17:00.2,02:07.9,S,I,G,,
8,1,3,29-May,14:58,31,19:52.2,02:52.1,S,G,I,,
8,1,3,29-May,14:58,32,22:14.2,02:22.0,S,G,G,,
8,1,3,29-May,14:58,33,23:31.6,01:17.4,S,I,I,,
8,1,3,29-May,14:58,34,23:54.2,00:22.6,S,I,G,,
8,1,3,29-May,14:58,35,24:48.1,00:53.9,S,I,G,,
8,1,3,29-May,14:58,36,25:17.3,00:29.2,S,I,I,,
8,1,3,29-May,14:58,37,25:44.5,00:27.2,C,I,I,,
8,1,3,29-May,14:58,38,25:46.2,00:01.7,L,,,37,
8,1,3,29-May,14:58,39,26:08.2,00:22.0,S,I,G,,
8,1,3,29-May,14:58,40,26:56.2,00:48.0,S,G,G,,
8,1,3,29-May,14:58,41,28:10.9,01:14.7,S,G,I,,
8,1,3,29-May,14:58,42,28:18.5,00:07.6,S,G,G,,
8,1,3,29-May,14:58,43,28:30.1,00:11.6,C,I,I,,
8,1,3,29-May,14:58,44,28:31.4,00:01.3,L,,,,
8,1,3,29-May,14:58,45,28:46.4,00:15.0,S,I,G,,
8,1,3,29-May,14:58,46,29:11.4,00:25.0,S,G,I,,
8,1,3,29-May,14:58,47,29:23.7,00:12.3,S,I,G,,
9,1,3,29-May,15:33,1,00:19.1,00:19.1,C,I,G,,
9,1,3,29-May,15:33,2,00:26.4,00:07.3,C,I,G,,
9,1,3,29-May,15:33,3,00:29.7,00:03.3,L,,,2,
9,1,3,29-May,15:33,4,00:43.0,00:13.3,L,,,1,
9,1,3,29-May,15:33,5,00:44.4,00:01.4,C,I,G,,
9,1,3,29-May,15:33,6,01:28.0,00:43.6,CON,,,5,
9,1,3,29-May,15:33,7,01:53.6,00:25.6,C,I,G,,
9,1,3,29-May,15:33,8,01:55.9,00:02.3,CON,,,7,
9,1,3,29-May,15:33,9,02:31.3,00:35.4,C,I,G,,
9,1,3,29-May,15:33,10,02:38.3,00:07.0,L,,,9,
9,1,3,29-May,15:33,11,02:39.3,00:00.9,C,,,10,consumed in corner didn't see it 
9,1,3,29-May,15:33,12,02:52.1,00:12.9,T,,,11,
9,1,3,29-May,15:33,13,03:23.2,00:31.1,C,I,G,,
9,1,3,29-May,15:33,14,03:29.2,00:06.0,CON,,,13,
9,1,3,29-May,15:33,15,03:33.3,00:04.1,S,I,G,,
9,1,3,29-May,15:33,16,03:53.5,00:20.2,S,G,G,,
9,1,3,29-May,15:33,17,04:31.5,00:38.1,S,G,G,,
9,1,3,29-May,15:33,18,04:47.0,00:15.4,S,I,G,,
9,1,3,29-May,15:33,19,04:55.0,00:08.0,S,I,I,,
9,1,3,29-May,15:33,20,05:41.7,00:46.8,S,I,I,,
9,1,3,29-May,15:33,21,06:08.8,00:27.0,C,I,I,,
9,1,3,29-May,15:33,22,06:44.1,00:35.4,CON,,,21,
9,1,3,29-May,15:33,23,10:39.9,03:55.8,C,I,G,,
9,1,3,29-May,15:33,24,11:06.7,00:26.8,CON,,,23,
9,1,3,29-May,15:33,25,11:37.7,00:31.1,S,I,G,,
9,1,3,29-May,15:33,26,11:51.7,00:13.9,S,I,I,,
9,1,3,29-May,15:33,27,12:41.9,00:50.2,S,G,I,,
9,1,3,29-May,15:33,28,12:50.6,00:08.8,C,G,I,,didn't see consumption
9,1,3,29-May,15:33,29,13:27.2,00:36.6,C,,G,,
9,1,3,29-May,15:33,30,13:33.4,00:06.2,L,,,29,
9,1,3,29-May,15:33,31,14:05.8,00:32.4,S,I,I,,
9,1,3,29-May,15:33,32,14:56.9,00:51.1,C,G,G,,
9,1,3,29-May,15:33,33,15:13.3,00:16.3,S,I,I,,
9,1,3,29-May,15:33,34,16:25.8,01:12.5,CON,,,32,
9,1,3,29-May,15:33,35,16:30.8,00:05.0,S,I,I,,
9,1,3,29-May,15:33,36,17:41.5,01:10.8,S,I,I,,
9,1,3,29-May,15:33,37,20:49.0,03:07.4,C,I,I,,
9,1,3,29-May,15:33,38,21:03.9,00:15.0,CON,,,37,
9,1,3,29-May,15:33,39,21:41.9,00:37.9,C,I,I,,
9,1,3,29-May,15:33,40,21:56.4,00:14.6,CON,,,39,
9,1,3,29-May,15:33,41,23:13.2,00:20.6,S,I,G,,
9,1,3,29-May,15:33,42,23:56.0,00:42.8,C,,G,,
9,1,3,29-May,15:33,43,24:24.4,00:28.3,CON,,,42,
10,1,3,29-May,16:08,1,00:09.6,00:09.6,C,I,G,,
10,1,3,29-May,16:08,2,00:29.1,00:19.5,S,I,G,,
10,1,3,29-May,16:08,3,01:22.1,00:53.0,CON,,,1,
10,1,3,29-May,16:08,4,05:05.5,03:43.4,S,G,G,,
10,1,3,29-May,16:08,5,05:31.9,00:26.4,S,I,G,,
10,1,3,29-May,16:08,6,05:34.7,00:02.7,S,G,G,,
10,1,3,29-May,16:08,7,06:41.4,01:06.7,S,G,I,,
10,1,3,29-May,16:08,8,07:15.7,00:34.4,S,G,G,,
10,1,3,29-May,16:08,9,07:18.5,00:02.8,C,G,G,,from 8
10,1,3,29-May,16:08,10,07:23.1,00:04.6,T,,,9,
10,1,3,29-May,16:08,11,07:32.9,00:09.8,L,,,10,
10,1,3,29-May,16:08,12,07:49.7,00:16.8,S,G,G,,
10,1,3,29-May,16:08,13,07:51.2,00:01.5,S,I,I,,
10,1,3,29-May,16:08,14,09:47.1,01:55.9,C,I,I,,
10,1,3,29-May,16:08,15,09:59.1,00:12.0,CON,,,14,
10,1,3,29-May,16:08,16,10:13.3,00:14.2,S,I,I,,
10,1,3,29-May,16:08,17,10:32.7,00:19.4,C,I,G,,
10,1,3,29-May,16:08,18,11:00.0,00:27.3,S,G,G,,
10,1,3,29-May,16:08,19,11:00.4,00:00.3,C,G,G,,
10,1,3,29-May,16:08,20,11:01.3,00:01.0,CON,,,17,
10,1,3,29-May,16:08,21,11:09.8,00:08.5,L,,,19,
10,1,3,29-May,16:08,22,12:32.2,01:22.4,S,I,I,,
